"","workerid","item","modal","freq","choice1","choice2","choice3","choice4","rating","evidence_type","worker_score"
"2",0,"bird_slider","bare",75,"indirect","report","direct","full",1,"direct",10
"4",0,"fish_slider","might",25,"full","direct","report","indirect",1,"direct",10
"6",0,"bug_slider","bare",75,"direct","indirect","full","report",0.51,"indirect",10
"8",0,"flower_slider","must",50,"direct","full","report","indirect",1,"direct",10
"10",1,"bug_slider","must",50,"report","indirect","full","direct",0.79,"direct",16
"12",1,"flower_slider","might",100,"indirect","full","direct","report",0.5,"indirect",16
"14",1,"fish_slider","must",25,"full","indirect","direct","report",0.95,"direct",16
"16",1,"bird_slider","must",50,"direct","report","indirect","full",0.96,"direct",16
"18",2,"fish_slider","might",25,"full","direct","report","indirect",0.49,"direct",16
"20",2,"flower_slider","bare",100,"direct","full","report","indirect",0.68,"direct",16
"22",2,"bird_slider","must",50,"indirect","report","direct","full",0.8,"direct",16
"24",2,"bug_slider","must",50,"direct","indirect","full","report",0.71,"direct",16
"26",3,"bug_slider","must",100,"direct","indirect","full","report",0.54,"direct",14
"28",3,"bird_slider","must",100,"direct","indirect","report","full",0.74,"direct",14
"30",3,"flower_slider","bare",25,"direct","full","report","indirect",0.51,"direct",14
"32",3,"fish_slider","must",50,"full","report","indirect","direct",0.5,"indirect",14
"34",4,"fish_slider","bare",75,"full","direct","report","indirect",0.99,"full",14
"36",4,"flower_slider","must",50,"report","full","indirect","direct",0.99,"direct",14
"38",4,"bird_slider","might",100,"indirect","report","direct","full",0.5,"full",14
"40",4,"bug_slider","might",100,"direct","report","full","indirect",0.49,"indirect",14
"42",5,"flower_slider","must",25,"direct","full","report","indirect",0.53,"direct",16
"44",5,"fish_slider","might",50,"full","report","indirect","direct",0.75,"direct",16
"46",5,"bug_slider","might",75,"report","indirect","full","direct",0.8,"direct",16
"48",5,"bird_slider","might",75,"report","indirect","direct","full",0.76,"direct",16
"50",6,"bird_slider","bare",100,"indirect","direct","report","full",0.85,"direct",16
"52",6,"fish_slider","bare",25,"full","report","indirect","direct",0.88,"direct",16
"54",6,"flower_slider","might",75,"direct","full","report","indirect",0.87,"direct",16
"56",6,"bug_slider","bare",100,"report","direct","full","indirect",0.89,"direct",16
"58",7,"flower_slider","might",75,"direct","full","indirect","report",0.53,"direct",15
"60",7,"bug_slider","must",25,"direct","report","full","indirect",0.47,"direct",15
"62",7,"fish_slider","must",100,"full","report","indirect","direct",0.47,"direct",15
"64",7,"bird_slider","must",25,"indirect","report","direct","full",0.51,"direct",15
"66",8,"bird_slider","bare",100,"direct","report","indirect","full",0.51,"full",15
"68",8,"fish_slider","bare",25,"full","direct","report","indirect",0.53,"direct",15
"70",8,"bug_slider","bare",100,"report","direct","full","indirect",0.51,"direct",15
"72",8,"flower_slider","must",50,"direct","full","indirect","report",0.5,"direct",15
"74",9,"flower_slider","bare",100,"report","full","direct","indirect",0.74,"indirect",13
"76",9,"bird_slider","must",75,"direct","indirect","report","full",0.88,"direct",13
"78",9,"fish_slider","might",50,"full","direct","report","indirect",0.05,"report",13
"80",9,"bug_slider","must",75,"report","direct","full","indirect",0.71,"full",13
"82",10,"flower_slider","might",50,"indirect","full","direct","report",0.5,"indirect",3
"84",10,"fish_slider","might",25,"full","report","indirect","direct",0.66,"report",3
"86",10,"bug_slider","must",75,"report","direct","full","indirect",0.5,"report",3
"88",10,"bird_slider","must",75,"indirect","report","direct","full",0.52,"indirect",3
"90",11,"flower_slider","must",50,"indirect","full","direct","report",0.5,"direct",14
"92",11,"bug_slider","bare",100,"direct","indirect","full","report",0.5,"direct",14
"94",11,"bird_slider","bare",100,"direct","report","indirect","full",0.49,"direct",14
"96",11,"fish_slider","might",75,"full","direct","indirect","report",0.49,"direct",14
"98",12,"bug_slider","might",25,"report","direct","full","indirect",0.49,"full",15
